"Years" "Months" "Days" "TX"
"445" 1877 3 20 3.8
"446" 1877 3 21 7.8
"447" 1877 3 22 7
"448" 1877 3 23 4.8
"449" 1877 3 24 6.3
"450" 1877 3 25 12
"451" 1877 3 26 14
"452" 1877 3 27 14.5
"453" 1877 3 28 11.8
"454" 1877 3 29 11.3
"455" 1877 3 30 10.3
"456" 1877 3 31 11.3
"457" 1877 4 1 8.5
"458" 1877 4 2 8.3
"459" 1877 4 3 9
"460" 1877 4 4 11
"461" 1877 4 5 10
"462" 1877 4 6 15
"463" 1877 4 7 15.3
"464" 1877 4 8 17.5
"465" 1877 4 9 20.3
"466" 1877 4 10 22.3
"467" 1877 4 11 20.8
"468" 1877 4 12 11
"469" 1877 4 13 10.5
"470" 1877 4 14 7.5
"471" 1877 4 15 5.8
"472" 1877 4 16 7.5
"473" 1877 4 17 7.8
"474" 1877 4 18 6
"475" 1877 4 19 10.5
"476" 1877 4 20 6.5
"477" 1877 4 21 3.3
"478" 1877 4 22 4.3
"479" 1877 4 23 7.8
"480" 1877 4 24 8.3
"481" 1877 4 25 6
"482" 1877 4 26 6.5
"483" 1877 4 27 8
"484" 1877 4 28 15.3
"485" 1877 4 29 10.8
"486" 1877 4 30 13.5
"487" 1877 5 1 11
"488" 1877 5 2 9
"489" 1877 5 3 7.8
"490" 1877 5 4 10
"491" 1877 5 5 10.8
"492" 1877 5 6 10.8
"493" 1877 5 7 14
"494" 1877 5 8 13.5
"495" 1877 5 9 18
"496" 1877 5 10 18.5
"497" 1877 5 11 17.3
"498" 1877 5 12 19.5
"499" 1877 5 13 19.8
"500" 1877 5 14 18
"501" 1877 5 15 18.8
"502" 1877 5 16 17.3
"503" 1877 5 17 17.8
"504" 1877 5 18 20.8
"505" 1877 5 19 15.8
"506" 1877 5 20 10.3
"507" 1877 5 21 10.8
"508" 1877 5 22 11
"509" 1877 5 23 14.8
"510" 1877 5 24 14.5
"511" 1877 5 25 14
"512" 1877 5 26 16.5
"513" 1877 5 27 17.8
"514" 1877 5 28 23.8
"515" 1877 5 29 20
"516" 1877 5 30 19.3
"517" 1877 5 31 21.8
"518" 1877 6 1 23.3
"519" 1877 6 2 21
"520" 1877 6 3 25
"521" 1877 6 4 28.8
"522" 1877 6 5 32
"523" 1877 6 6 29.3
"524" 1877 6 7 23.3
"525" 1877 6 8 26.8
"526" 1877 6 9 29.3
"527" 1877 6 10 31
"528" 1877 6 11 28.5
"529" 1877 6 12 29.8
"530" 1877 6 13 18.3
"531" 1877 6 14 19.8
"532" 1877 6 15 21.5
"533" 1877 6 16 20
"534" 1877 6 17 22.5
"535" 1877 6 18 26
"536" 1877 6 19 28.8
"537" 1877 6 20 26.5
"538" 1877 6 21 25.5
"539" 1877 6 22 25.8
"540" 1877 6 23 25.8
"541" 1877 6 24 20.3
"542" 1877 6 25 20.3
"543" 1877 6 26 23.5
"544" 1877 6 27 21
"545" 1877 6 28 18.8
"546" 1877 6 29 21.3
"547" 1877 6 30 26.8
"548" 1877 7 1 28.5
"549" 1877 7 2 25.3
"550" 1877 7 3 21
"551" 1877 7 4 23.3
"552" 1877 7 5 20.5
"553" 1877 7 6 25.8
"554" 1877 7 7 20.5
"555" 1877 7 8 20
"556" 1877 7 9 18.8
"557" 1877 7 10 17.8
"558" 1877 7 11 23
"559" 1877 7 12 23.3
"560" 1877 7 13 26.5
"561" 1877 7 14 26
"562" 1877 7 15 29.8
"563" 1877 7 16 22.3
"564" 1877 7 17 25
"565" 1877 7 18 22.8
"566" 1877 7 19 21.6
"567" 1877 7 20 23.4
"568" 1877 7 21 20.5
"569" 1877 7 22 23.3
"570" 1877 7 23 29.5
"571" 1877 7 24 33
"572" 1877 7 25 26.1
"573" 1877 7 26 24.8
"574" 1877 7 27 18.8
"575" 1877 7 28 20.8
"576" 1877 7 29 21.8
"577" 1877 7 30 21.5
"578" 1877 7 31 24.8
"579" 1877 8 1 26.6
"580" 1877 8 2 20.8
"581" 1877 8 3 18
"582" 1877 8 4 16.9
"583" 1877 8 5 18.1
"584" 1877 8 6 19.8
"585" 1877 8 7 25.3
"586" 1877 8 8 29
"587" 1877 8 9 22
"588" 1877 8 10 24.8
"589" 1877 8 11 25
"590" 1877 8 12 20.5
"591" 1877 8 13 22.5
"592" 1877 8 14 26.8
"593" 1877 8 15 24.8
"594" 1877 8 16 23.5
"595" 1877 8 17 24
"596" 1877 8 18 21.5
"597" 1877 8 19 22.3
"598" 1877 8 20 24
"599" 1877 8 21 27
"600" 1877 8 22 25.8
"601" 1877 8 23 22.8
"602" 1877 8 24 20
"603" 1877 8 25 20.5
"604" 1877 8 26 25.5
"605" 1877 8 27 20.3
"606" 1877 8 28 26
"607" 1877 8 29 23
"608" 1877 8 30 23.8
"609" 1877 8 31 22.8
"610" 1877 9 1 20
"611" 1877 9 2 17.5
"612" 1877 9 3 20
"613" 1877 9 4 15.8
"614" 1877 9 5 16.3
"615" 1877 9 6 17.8
"616" 1877 9 7 18.3
"617" 1877 9 8 15.8
"618" 1877 9 9 17
"619" 1877 9 10 18
"620" 1877 9 11 20.3
"621" 1877 9 12 21.5
"622" 1877 9 13 20.5
"623" 1877 9 14 20
"624" 1877 9 15 21.3
"625" 1877 9 16 18
"626" 1877 9 17 13.3
"627" 1877 9 18 14.3
"628" 1877 9 19 13.3
"629" 1877 9 20 12.3
"630" 1877 9 21 11.5
"631" 1877 9 22 12.8
"632" 1877 9 23 11.8
"633" 1877 9 24 12
"634" 1877 9 25 8.8
"635" 1877 9 26 11
"636" 1877 9 27 12.3
"637" 1877 9 28 13.3
"638" 1877 9 29 14.3
"639" 1877 9 30 15
"640" 1877 10 1 14.5
"641" 1877 10 2 15
"642" 1877 10 3 13.3
"643" 1877 10 4 14
"644" 1877 10 5 13.3
"645" 1877 10 6 9
"646" 1877 10 7 9.5
"647" 1877 10 8 9.8
"648" 1877 10 9 10.3
"649" 1877 10 10 10
"650" 1877 10 11 10.3
"651" 1877 10 12 11
"652" 1877 10 13 12
"653" 1877 10 14 17
"654" 1877 10 15 19
"655" 1877 10 16 14.3
"656" 1877 10 17 10.3
"657" 1877 10 18 8.3
"658" 1877 10 19 8.3
"659" 1877 10 20 7.8
"660" 1877 10 21 11.5
"661" 1877 10 22 12.8
"662" 1877 10 23 15.5
"663" 1877 10 24 15.8
"664" 1877 10 25 12.3
"665" 1877 10 26 14
"666" 1877 10 27 9.5
"667" 1877 10 28 10
"668" 1877 10 29 11
"669" 1877 10 30 9.3
"670" 1877 10 31 14.3
"671" 1877 11 1 11
"672" 1877 11 2 11.3
"673" 1877 11 3 9.5
"674" 1877 11 4 10
"675" 1877 11 5 11.5
"676" 1877 11 6 13.5
"677" 1877 11 7 15.3
"678" 1877 11 8 15.8
"679" 1877 11 9 13.3
"680" 1877 11 10 13
"681" 1877 11 11 13.3
"682" 1877 11 12 10.8
"683" 1877 11 13 12
"684" 1877 11 14 11
"685" 1877 11 15 13.3
"686" 1877 11 16 11.5
"687" 1877 11 17 10
"688" 1877 11 18 7.3
"689" 1877 11 19 9
"690" 1877 11 20 8
"691" 1877 11 21 7.8
"692" 1877 11 22 8
"693" 1877 11 23 8.3
"694" 1877 11 24 8
"695" 1877 11 25 7.8
"696" 1877 11 26 5.8
"697" 1877 11 27 4.5
"698" 1877 11 28 8.3
"699" 1877 11 29 7
"700" 1877 11 30 5.5
"701" 1877 12 1 6.5
"702" 1877 12 2 7.5
"703" 1877 12 3 8.3
"704" 1877 12 4 7
"705" 1877 12 5 6.5
"706" 1877 12 6 7.8
"707" 1877 12 7 8
"708" 1877 12 8 5.5
"709" 1877 12 9 4
"710" 1877 12 10 4
"711" 1877 12 11 1.5
"712" 1877 12 12 4.3
"713" 1877 12 13 5.8
"714" 1877 12 14 3.8
"715" 1877 12 15 5.3
"716" 1877 12 16 5
"717" 1877 12 17 5.3
"718" 1877 12 18 2.5
"719" 1877 12 19 1.8
"720" 1877 12 20 -0.3
"721" 1877 12 21 -0.8
"722" 1877 12 22 -5
"723" 1877 12 23 1.5
"724" 1877 12 24 3.3
"725" 1877 12 25 2.5
"726" 1877 12 26 0.8
"727" 1877 12 27 1.8
"728" 1877 12 28 1.5
"729" 1877 12 29 1.3
"730" 1877 12 30 4.8
"731" 1877 12 31 4.8
"732" 1878 1 1 4.5
"733" 1878 1 2 4.5
"734" 1878 1 3 4.5
"735" 1878 1 4 3.8
"736" 1878 1 5 6.3
"737" 1878 1 6 5.3
"738" 1878 1 7 6
"739" 1878 1 8 4
"740" 1878 1 9 1.5
"741" 1878 1 10 -1.8
"742" 1878 1 11 -0.8
"743" 1878 1 12 0.8
"744" 1878 1 13 2.8
"745" 1878 1 14 5.3
"746" 1878 1 15 4.5
"747" 1878 1 16 4
"748" 1878 1 17 4.3
"749" 1878 1 18 3
"750" 1878 1 19 2.8
"751" 1878 1 20 3.3
"752" 1878 1 21 4.5
"753" 1878 1 22 10.8
"754" 1878 1 23 9
"755" 1878 1 24 4.3
"756" 1878 1 25 3.5
"757" 1878 1 26 2.3
"758" 1878 1 27 3
"759" 1878 1 28 2.8
"760" 1878 1 29 1.5
"761" 1878 1 30 2.3
"762" 1878 1 31 1.3
"763" 1878 2 1 1.5
"764" 1878 2 2 1
"765" 1878 2 3 2.5
"766" 1878 2 4 1.3
"767" 1878 2 5 5
"768" 1878 2 6 6
"769" 1878 2 7 4
"770" 1878 2 8 5.8
"771" 1878 2 9 7.3
"772" 1878 2 10 6
"773" 1878 2 11 2.8
"774" 1878 2 12 1.5
"775" 1878 2 13 2
"776" 1878 2 14 4
"777" 1878 2 15 6.5
"778" 1878 2 16 10
"779" 1878 2 17 9.5
"780" 1878 2 18 12.3
"781" 1878 2 19 10
"782" 1878 2 20 5.3
"783" 1878 2 21 10
"784" 1878 2 22 9.8
"785" 1878 2 23 8.5
"786" 1878 2 24 8
"787" 1878 2 25 8
"788" 1878 2 26 7.5
"789" 1878 2 27 7
"790" 1878 2 28 11
"791" 1878 3 1 13
"792" 1878 3 2 13.5
"793" 1878 3 3 11
"794" 1878 3 4 10.3
"795" 1878 3 5 10.5
"796" 1878 3 6 8.3
"797" 1878 3 7 8.3
"798" 1878 3 8 6.8
"799" 1878 3 9 4.3
"800" 1878 3 10 5.8
"801" 1878 3 11 7.3
"802" 1878 3 12 7
"803" 1878 3 13 4.3
"804" 1878 3 14 2.5
"805" 1878 3 15 1.5
"806" 1878 3 16 1.8
"807" 1878 3 17 2.8
"808" 1878 3 18 5.5
"809" 1878 3 19 9.3
"810" 1878 3 20 8
"811" 1878 3 21 10.8
"812" 1878 3 22 8.3
"813" 1878 3 23 6.3
"814" 1878 3 24 5.8
"815" 1878 3 25 6.3
"816" 1878 3 26 4.8
"817" 1878 3 27 7.3
"818" 1878 3 28 7.3
